DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),CO2(ppm),HCHO(mg/m3),TEMPERATURE,HUMIDITY(%),TEMPUNIT,LATITUDE,LONGITUDE,GROUP,DEVICE,LOCATION_TYPE,PM2.5_VAR(ug/m3),PM10_VAR(ug/m3),CO2_VAR(ppm),HCHO_VAR(mg/m3),TEMPERATURE_VAR,HUMIDITY_VAR(%),UID,NOTES
2026-06-10 10:08:28,23.8,35.6,3191,410,0.042,23.3,53.3,C,43.785783,-79.186516,Group 2,UTSC-AQMS-02,outdoor,0.7,2.6,11,0.003,0.4,1.5,UTSC-AQMS-02-1000-1,Military Trail
2026-06-10 10:09:35,24.1,34.0,2975,434,0.013,21.4,62.1,C,43.785638,-79.186203,Group 2,UTSC-AQMS-02,outdoor,1.1,1.6,15,0.009,0.4,1.1,UTSC-AQMS-02-1001-1,Military Trail
2026-06-10 10:10:41,24.0,37.7,2956,410,0.034,21.2,59.9,C,43.785593,-79.185781,Group 2,UTSC-AQMS-02,outdoor,1.8,2.8,25,0.008,0.3,2.9,UTSC-AQMS-02-1002-1,Military Trail
2026-06-10 10:11:05,25.5,40.9,4370,384,0.017,21.1,59.2,C,43.785463,-79.186155,Group 2,UTSC-AQMS-02,outdoor,0.7,2.0,13,0.004,0.2,2.1,UTSC-AQMS-02-1003-1,Military Trail
2026-06-10 10:12:57,24.0,36.5,4250,440,0.041,21.9,59.8,C,43.785362,-79.186127,Group 2,UTSC-AQMS-02,outdoor,1.5,2.6,16,0.007,0.2,3.2,UTSC-AQMS-02-1004-1,Military Trail
2026-06-10 10:13:50,21.7,35.6,2721,463,0.029,19.7,57.7,C,43.785114,-79.185954,Group 2,UTSC-AQMS-02,outdoor,1.9,2.6,17,0.008,0.3,3.8,UTSC-AQMS-02-1005-1,Military Trail
2026-06-10 10:14:43,24.5,40.4,3195,451,0.027,19.2,59.2,C,43.785237,-79.186293,Group 2,UTSC-AQMS-02,outdoor,1.7,2.0,17,0.009,0.1,1.4,UTSC-AQMS-02-1006-1,Military Trail
2026-06-10 10:15:45,25.3,43.3,4057,449,0.023,21.2,59.1,C,43.785403,-79.185986,Group 2,UTSC-AQMS-02,outdoor,1.0,1.6,8,0.003,0.4,2.3,UTSC-AQMS-02-1007-1,Military Trail
2026-06-10 10:16:50,18.2,32.3,3035,445,0.02,22.1,61.4,C,43.785020,-79.185765,Group 2,UTSC-AQMS-02,outdoor,0.7,2.7,18,0.003,0.3,3.1,UTSC-AQMS-02-1008-1,Military Trail
2026-06-10 10:17:57,16.6,25.3,2454,416,0.025,21.4,59.1,C,43.784967,-79.185775,Group 2,UTSC-AQMS-02,outdoor,0.7,3.0,23,0.004,0.4,1.3,UTSC-AQMS-02-1009-1,Military Trail
2026-06-10 10:18:17,18.3,25.9,2465,427,0.022,21.7,56.4,C,43.784878,-79.185853,Group 2,UTSC-AQMS-02,outdoor,0.6,1.0,6,0.007,0.3,1.7,UTSC-AQMS-02-1010-1,Military Trail
2026-06-10 10:19:39,12.6,22.3,2092,450,0.036,20.9,63.4,C,43.784338,-79.186091,Group 2,UTSC-AQMS-02,outdoor,1.4,2.7,8,0.008,0.2,1.8,UTSC-AQMS-02-1011-1,Military Trail
2026-06-10 10:20:22,13.8,19.6,2166,439,0.018,19.5,61.7,C,43.784808,-79.185638,Group 2,UTSC-AQMS-02,outdoor,0.8,3.0,14,0.008,0.3,2.7,UTSC-AQMS-02-1012-1,Military Trail
2026-06-10 10:21:05,13.3,21.8,2160,424,0.033,21.3,57.5,C,43.784634,-79.185689,Group 2,UTSC-AQMS-02,outdoor,1.1,1.9,7,0.003,0.2,1.9,UTSC-AQMS-02-1013-1,Military Trail
2026-06-10 10:22:17,10.9,17.1,1576,401,0.0,20.1,56.2,C,43.784321,-79.185845,Group 2,UTSC-AQMS-02,outdoor,1.2,1.5,16,0.007,0.3,2.9,UTSC-AQMS-02-1014-1,Military Trail
2026-06-10 10:23:25,11.2,18.2,1639,430,0.051,21.2,63.7,C,43.784412,-79.185773,Group 2,UTSC-AQMS-02,outdoor,1.8,2.8,15,0.006,0.3,1.9,UTSC-AQMS-02-1015-1,Military Trail
2026-06-10 10:24:54,10.5,15.0,1442,438,0.016,21.7,50.7,C,43.784131,-79.185743,Group 2,UTSC-AQMS-02,outdoor,1.7,2.7,12,0.003,0.3,1.4,UTSC-AQMS-02-1016-1,Military Trail
2026-06-10 10:25:00,10.4,17.8,1444,438,0.001,20.8,58.4,C,43.783656,-79.185940,Group 2,UTSC-AQMS-02,outdoor,0.5,1.4,16,0.003,0.1,3.5,UTSC-AQMS-02-1017-1,Military Trail
2026-06-10 10:26:02,11.0,19.8,1413,455,0.015,22.2,58.5,C,43.784388,-79.185996,Group 2,UTSC-AQMS-02,outdoor,1.2,1.3,9,0.009,0.1,1.7,UTSC-AQMS-02-1018-1,Military Trail
2026-06-10 10:27:26,10.7,17.0,1331,400,0.01,21.2,57.3,C,43.784115,-79.185897,Group 2,UTSC-AQMS-02,outdoor,1.5,2.5,6,0.005,0.3,2.0,UTSC-AQMS-02-1019-1,Military Trail
